id_sequence,surge1_t0,surge1_t1,surge1_t2,surge1_t3,surge1_t4,surge1_t5,surge1_t6,surge1_t7,surge1_t8,surge1_t9,surge2_t0,surge2_t1,surge2_t2,surge2_t3,surge2_t4,surge2_t5,surge2_t6,surge2_t7,surge2_t8,surge2_t9
1,0.586935916306524,1.069580235233971,0.7679275359043165,-0.10016189883324439,0.07077463078689313,-0.24428485517963483,-0.3548908449338413,-0.9280309736601846,-0.773852927336139,-0.37500102488915166,-0.05388588934541524,0.35684657538744147,0.34846428018881176,0.26464132820251446,0.9016957632983739,0.4490518225723684,0.11376001462717934,-0.42270687808512336,-0.4562360588796423,-0.8250570476193504
2,0.7679275359043165,-0.10016189883324439,0.07077463078689313,-0.24428485517963483,-0.3548908449338413,-0.9280309736601846,-0.773852927336139,-0.37500102488915166,-0.3615942382522782,-0.21076788858745102,0.34846428018881176,0.26464132820251446,0.9016957632983739,0.4490518225723684,0.11376001462717934,-0.42270687808512336,-0.4562360588796423,-0.8250570476193504,-0.9927029515919449,-0.9927029515919449
3,0.07077463078689313,-0.24428485517963483,-0.3548908449338413,-0.9280309736601846,-0.773852927336139,-0.37500102488915166,-0.3615942382522782,-0.21076788858745102,0.2886349136360879,-0.7269291741070817,0.9016957632983739,0.4490518225723684,0.11376001462717934,-0.42270687808512336,-0.4562360588796423,-0.8250570476193504,-0.9927029515919449,-0.9927029515919449,-0.32211933570156664,-0.8837331140097584
4,-0.3548908449338413,-0.9280309736601846,-0.773852927336139,-0.37500102488915166,-0.3615942382522782,-0.21076788858745102,0.2886349136360879,-0.7269291741070817,-0.5761028244422546,1.160076045032867,0.11376001462717934,-0.42270687808512336,-0.4562360588796423,-0.8250570476193504,-0.9927029515919449,-0.9927029515919449,-0.32211933570156664,-0.8837331140097584,-0.4730006492769017,-0.42270687808512336
5,-0.773852927336139,-0.37500102488915166,-0.3615942382522782,-0.21076788858745102,0.2886349136360879,-0.7269291741070817,-0.5761028244422546,1.160076045032867,0.4428129599601335,0.3053933969321798,-0.4562360588796423,-0.8250570476193504,-0.9927029515919449,-0.9927029515919449,-0.32211933570156664,-0.8837331140097584,-0.4730006492769017,-0.42270687808512336,-0.4730006492769017,-0.5316767156673099
6,-0.3615942382522782,-0.21076788858745102,0.2886349136360879,-0.7269291741070817,-0.5761028244422546,1.160076045032867,0.4428129599601335,0.3053933969321798,1.4215083844519012,1.5589279474798547,-0.9927029515919449,-0.9927029515919449,-0.32211933570156664,-0.8837331140097584,-0.4730006492769017,-0.42270687808512336,-0.4730006492769017,-0.5316767156673099,-0.16285572692760178,0.26464132820251446
7,0.2886349136360879,-0.7269291741070817,-0.5761028244422546,1.160076045032867,0.4428129599601335,0.3053933969321798,1.4215083844519012,1.5589279474798547,0.4863850165299725,-1.3067726961518618,-0.32211933570156664,-0.8837331140097584,-0.4730006492769017,-0.42270687808512336,-0.4730006492769017,-0.5316767156673099,-0.16285572692760178,0.26464132820251446,0.2814059185997739,0.6083154313463334
8,-0.5761028244422546,1.160076045032867,0.4428129599601335,0.3053933969321798,1.4215083844519012,1.5589279474798547,0.4863850165299725,-1.3067726961518618,-1.7324381718725963,-1.3671032360177926,-0.4730006492769017,-0.42270687808512336,-0.4730006492769017,-0.5316767156673099,-0.16285572692760178,0.26464132820251446,0.2814059185997739,0.6083154313463334,-0.037121298948155836,-0.5652058964618287
9,0.4428129599601335,0.3053933969321798,1.4215083844519012,1.5589279474798547,0.4863850165299725,-1.3067726961518618,-1.7324381718725963,-1.3671032360177926,-1.6587008453697918,-1.7726585317832169,-0.4730006492769017,-0.5316767156673099,-0.16285572692760178,0.26464132820251446,0.2814059185997739,0.6083154313463334,-0.037121298948155836,-0.5652058964618287,-0.5065298300714206,-0.4562360588796423
10,1.4215083844519012,1.5589279474798547,0.4863850165299725,-1.3067726961518618,-1.7324381718725963,-1.3671032360177926,-1.6587008453697918,-1.7726585317832169,-2.0776629277720895,-2.007277297928504,-0.16285572692760178,0.26464132820251446,0.2814059185997739,0.6083154313463334,-0.037121298948155836,-0.5652058964618287,-0.5065298300714206,-0.4562360588796423,-0.4394714684823828,-0.3640308116947153
